"","logFC","logCPM","PValue","FDR","ID"
"32512",-8.56611160321855,8.75824526168058,8.81539825674488e-139,3.18103646094639e-134,"32512"
"17833",-5.8463599176344,-0.14050527429671,3.04217644153681e-06,0.00024216250474175,"17833"
"28322",-5.55030282987786,0.102780068210701,3.28780018213985e-05,0.00190739983235557,"28322"
"8642",-5.27183263754717,-0.320058206832162,0.000205787925542308,0.00856500264497598,"8642"
"19331",-5.16586358805469,-0.494213080998099,0.00038295124534513,0.0141267803530532,"19331"
"17339",-5.16459080744253,-0.763655412411211,0.00038295124534513,0.0141267803530532,"17339"
"38905",-4.89485256695832,0.508030793758103,1.55616562759809e-09,2.54091568651028e-07,"38905"
"21466",-4.48495808083626,0.198597767393593,2.51857952292732e-07,2.65739596739276e-05,"21466"
"8386",-3.99325905159662,1.82336440887214,2.92138726550024e-14,9.94511881845059e-12,"8386"
"26040",-3.38158375397527,1.47585205661381,2.94278091770275e-13,8.63335361100031e-11,"26040"
"39878",-3.18308172867293,1.23817172748653,6.59602058083861e-10,1.14984252492542e-07,"39878"
"23755",-2.89057474443579,0.665378812349166,2.27230276424359e-06,0.000187987518148617,"23755"
"15811",-2.80595376221112,-0.0242798249095336,0.000247892542871953,0.00987329184275324,"15811"
"13182",-2.77248606582875,5.09878066122773,6.79200597796433e-26,1.18226668409833e-22,"13182"
"21590",-2.75271505779707,1.45918421911045,8.47444669234052e-11,1.73750232325629e-08,"21590"
"28159",-2.52120744620466,3.44790574237575,7.01146433404049e-18,4.43874895603248e-15,"28159"
"28096",-2.50107721917884,5.03066137874457,3.0164081826286e-21,3.25527808444317e-18,"28096"
"28160",-2.48328764509738,3.54768821099994,1.80308165822458e-17,1.08440336061723e-14,"28160"
"28158",-2.41222726033169,3.66939440325255,4.07541175624725e-17,2.19494377946541e-14,"28158"
"19010",-2.36873172065017,0.639054616876882,0.000129653859379743,0.0058628565359875,"19010"
"15339",-2.31938631077522,0.37841164675349,0.000591144227662883,0.0199732579168681,"15339"
"1448",-2.21503376753297,0.819604478974725,1.71680253865593e-05,0.00106996234209671,"1448"
"5830",-2.1973578036564,0.490576994007739,0.000222529987814318,0.00909468828343917,"5830"
"23645",-2.16037105883064,0.733970437922297,6.26065973873639e-05,0.00323080882872672,"23645"
"21589",-2.08674227034458,1.49439121009027,1.11607913233653e-07,1.26646904057747e-05,"21589"
"6282",-2.03436912010249,3.61560398340751,4.43508018684048e-12,1.07409307746402e-09,"6282"
"13779",-2.0105053252881,0.412771794947801,0.00105029720442862,0.0316360389163663,"13779"
"9417",-1.99912130495406,2.35939907391449,2.20685848693932e-09,3.57105329601817e-07,"9417"
"1303",-1.99030560834368,0.883142922933284,5.96747273311495e-05,0.00312534475434619,"1303"
"18345",-1.97408228976564,0.521003877107271,0.000199524599779802,0.00837191300355133,"18345"
"4278",-1.97298289655272,0.427174153679643,0.00154206252793639,0.0430048014829292,"4278"
"32400",-1.96000324883409,3.22014541472864,2.55778254971071e-10,4.70906037277098e-08,"32400"
"6675",-1.95775962283572,0.985599819650132,0.000150840994191729,0.00658970614456239,"6675"
"9418",-1.95508478774026,1.67051685936832,2.78053588351593e-07,2.88320797001932e-05,"9418"
"9414",-1.94957222280371,2.61498004077935,8.87370642328204e-10,1.51757202030394e-07,"9414"
"1304",-1.81814743056266,0.72172244563932,0.000228654240042394,0.00931262782384854,"1304"
"35403",-1.81622937036179,3.18280919285422,9.06500355439382e-09,1.31369740265181e-06,"35403"
"37281",-1.78816270697373,2.45345717200254,4.88565131548465e-07,4.85671426223867e-05,"37281"
"9415",-1.78068705786387,2.29549790617407,7.03303097279592e-08,8.34825403464937e-06,"9415"
"23110",-1.77600513144228,1.43133715340979,5.10364474279188e-06,0.000378162259843214,"23110"
"4694",-1.77420554400176,2.67696653781469,1.84596997463932e-07,1.97661206334896e-05,"4694"
"1302",-1.75303903300549,0.666817489647041,0.000428887053295271,0.0154609283897701,"1302"
"22873",-1.74918256574689,1.04390061277125,0.0005641823182982,0.0193522043305994,"22873"
"22047",-1.73314186372989,6.27071397899763,8.91466449357682e-13,2.40063931530388e-10,"22047"
"41369",-1.72725091782889,6.48927314843339,1.00431101706775e-12,2.64529657305764e-10,"41369"
"41370",-1.70945822694876,6.3666248480994,1.83370163307486e-12,4.6272114286368e-10,"41370"
"8212",-1.68255705604375,3.18279483750198,2.97258499604858e-08,3.85847948138176e-06,"8212"
"9416",-1.66242748147942,2.457426730043,1.76208098043716e-07,1.89805051280821e-05,"9416"
"7974",-1.66007259449333,6.5192279120287,6.0175773218047e-12,1.44762851771549e-09,"7974"
"3043",-1.65494970873735,4.45454265046518,2.2758170583521e-10,4.27723221617893e-08,"3043"
"28592",-1.62171581466045,4.81499628855691,1.14103054002699e-10,2.31315095712775e-08,"28592"
"23524",-1.62063352565396,2.95026980723745,2.56140672246964e-07,2.68857617886795e-05,"23524"
"8671",-1.61380291043729,1.6616002424952,0.000246162369654169,0.00981521448505049,"8671"
"30002",-1.60218470147927,2.53690900074531,2.94744065636147e-06,0.000235827929234598,"30002"
"20806",-1.59681830834484,2.304515924137,1.75883129719046e-06,0.000150753984225933,"20806"
"27823",-1.54948816413598,2.27115742966107,1.05733330584967e-06,9.63481624787506e-05,"27823"
"34775",-1.54832851383498,7.66590169789016,5.15957033257657e-11,1.08879003187734e-08,"34775"
"29318",-1.54251955867773,2.51947263359453,1.17409911153535e-06,0.000105654280398387,"29318"
"5650",-1.53738541264347,3.95079584475575,4.53540943007912e-08,5.64345687187604e-06,"5650"
"34773",-1.52350957682247,7.60559001625266,1.03696181159679e-10,2.11405463115651e-08,"34773"
"34774",-1.51924143107483,7.5593424421843,1.17165285809228e-10,2.34883852134778e-08,"34774"
"31136",-1.50042156976507,2.43070410131721,8.72909172564923e-06,0.000597016908339763,"31136"
"34772",-1.49794868345456,7.59837959877739,2.07189589696347e-10,3.91436457811135e-08,"34772"
"38006",-1.48299492790019,7.2231226100948,3.64928103029855e-10,6.61730180795593e-08,"38006"
"24293",-1.48072728985414,5.77132190883976,1.09680923701615e-09,1.84085401477804e-07,"24293"
"3261",-1.46640751306165,4.77552729746616,1.06263159674355e-08,1.51561506594826e-06,"3261"
"31134",-1.46336501486509,3.11111443915151,3.56021264713738e-07,3.58855512212157e-05,"31134"
"28972",-1.45218018414018,7.22865309554053,8.01332707183562e-10,1.37695670184375e-07,"28972"
"20899",-1.43286606199711,5.55734837555282,5.69007950511954e-09,8.62716466143859e-07,"20899"
"37699",-1.41055575710008,3.73704146895882,9.55085957496796e-08,1.09758843236535e-05,"37699"
"2352",-1.4058052760015,2.99383331152175,2.38382097037463e-06,0.00019594573967191,"2352"
"3045",-1.40407046414632,5.02307273065208,2.03023822416455e-08,2.72346268843784e-06,"3045"
"26241",-1.39441545915216,7.88547896688044,2.78749470251927e-09,4.41189749116362e-07,"26241"
"24556",-1.38620145950739,1.31968499245956,0.00075979660941396,0.0243925806500914,"24556"
"34042",-1.38294682091324,2.69418420185903,1.98879145231293e-05,0.00121225573575527,"34042"
"26063",-1.38118022177561,4.87564101618583,5.70075793733035e-08,6.94972466785694e-06,"26063"
"15405",-1.37890602334254,1.66110605923359,0.00092023588916414,0.0284547661186701,"15405"
"24292",-1.37697442411864,6.63661482766099,6.27248355345962e-09,9.39180784342698e-07,"24292"
"13720",-1.3750218091937,3.6345720286749,9.2219752439181e-07,8.57667465661816e-05,"13720"
"29399",-1.37183689525006,3.13143912074631,2.83842874971671e-06,0.00022811737513035,"29399"
"17240",-1.35890864327689,2.76748926261044,7.44537097766473e-06,0.000523715812337294,"17240"
"13719",-1.35724093323037,4.43506875685044,1.7373991697606e-07,1.87706733655123e-05,"13719"
"40553",-1.35172788042262,1.56727603055871,0.00107682677244243,0.0322735000694229,"40553"
"37651",-1.35105194678102,7.22221989703494,9.6055755349944e-09,1.38094499275009e-06,"37651"
"38706",-1.34985740615431,8.55557346771636,7.52603623084415e-09,1.10847762200005e-06,"38706"
"26240",-1.3436347902527,8.11455005470156,9.23069875405266e-09,1.33235905815996e-06,"26240"
"16417",-1.34250654264692,6.45442799092191,1.71836279460324e-08,2.37575177943518e-06,"16417"
"20317",-1.34188879279214,6.58392289943555,1.77270281630902e-08,2.44152599719508e-06,"20317"
"33902",-1.34092161750744,3.03212824655112,8.14405332771473e-06,0.000562984989139054,"33902"
"8213",-1.33307774569579,3.2518089272282,7.20475369873063e-06,0.000508774045437759,"8213"
"41105",-1.33034902434009,5.78557663737538,5.28664707468463e-08,6.51087575733771e-06,"41105"
"1080",-1.32879318408084,1.3029317076088,0.000517706857700178,0.0180042244690899,"1080"
"17053",-1.32492725083802,9.79587021684832,1.18626365435681e-08,1.68528834517581e-06,"17053"
"34012",-1.31782524136353,6.60244822094366,3.23713030830479e-08,4.15700523755083e-06,"34012"
"16550",-1.31407725591581,4.58797749384154,3.15843469759384e-07,3.21955130120547e-05,"16550"
"7610",-1.31074682565705,2.54002644684731,8.74733045740045e-05,0.00428286865068243,"7610"
"8214",-1.30932134734234,3.11547499342506,1.61918791144664e-05,0.00101791630286676,"8214"
"37773",-1.29519096718655,3.5247617449555,4.05701080920816e-06,0.000307557216492178,"37773"
"18248",-1.28791100776067,5.59897463540534,1.39241389530392e-07,1.55558066291152e-05,"18248"
"29242",-1.28082187209341,2.66289082138234,4.08019469898203e-05,0.0022969395587015,"29242"
"39017",-1.27100224167245,7.84674209186898,5.48418502878937e-08,6.7083666699615e-06,"39017"
"216",-1.2704416116156,2.31839159459125,0.000386287693190483,0.0141946959356198,"216"
"31135",-1.26622672587689,3.87127662820071,1.70997371078521e-06,0.000147972185500442,"31135"
"21422",-1.26411268484082,3.61939895255856,7.53128705650297e-06,0.000527701928997883,"21422"
"32588",-1.26314890992702,2.07695113032058,0.000432931906659396,0.0155601074221159,"32588"
"20310",-1.26159994819227,4.54597644514518,9.28900065479814e-07,8.61680176422599e-05,"20310"
"35106",-1.25622014226482,3.19207046026566,1.58427677887969e-05,0.000999451530871919,"35106"
"12658",-1.2553588452657,4.8278195591526,6.11963838396413e-07,5.95221431496889e-05,"12658"
"16566",-1.25417066733616,4.58097676112352,9.69006303609767e-07,8.96579293993806e-05,"16566"
"6642",-1.25121387008075,1.8582156764497,0.000206819545507165,0.00858812807782055,"6642"
"10784",-1.24166591969582,6.62035943663227,1.71589350361884e-07,1.85939991225483e-05,"10784"
"35105",-1.24119119207353,3.6794690873157,5.59677828477517e-06,0.000413005612282438,"35105"
"24906",-1.2395038462996,2.03938217952985,0.000524364288983223,0.0181175677197051,"24906"
"20682",-1.23643674633718,5.5029442383487,4.23042482276249e-07,4.24041332581623e-05,"20682"
"34143",-1.2326925714395,1.7284529475855,0.000966573500546919,0.0296084930112356,"34143"
"35108",-1.23168485757519,2.8896362538508,3.92160486763989e-05,0.00221111111951227,"35108"
"34144",-1.22967049344489,2.43829284228728,0.000191783601767405,0.00811314334088721,"34144"
"17974",-1.229009939095,4.26953973851997,1.57019494636276e-06,0.000137192456754238,"17974"
"34011",-1.22703728997334,6.99812606155742,1.98486147702179e-07,2.11904515971394e-05,"34011"
"12829",-1.22666383710377,6.77683872383741,2.13342167142823e-07,2.27092982340672e-05,"12829"
"6549",-1.22543184040726,2.31334877853424,0.000235271354911179,0.00949638349213634,"6549"
"41219",-1.21046482653107,3.7571142631405,6.03717286446933e-06,0.000442787363443853,"41219"
"9047",-1.19983114609278,2.35222451068656,0.000263921815596487,0.0103969636635363,"9047"
"40282",-1.19560306723958,2.57158480975284,0.000139884399059823,0.00620876819197256,"40282"
"29422",-1.19491491678797,8.76164434428768,2.6164241553633e-07,2.73416128256769e-05,"29422"
"7558",-1.1942737481582,4.65428544102929,2.22450359410707e-06,0.000184956710122935,"7558"
"7421",-1.19381080658078,3.48945310381327,3.21587067741579e-05,0.00187774584780823,"7421"
"31338",-1.19234469583502,5.42130792116242,1.02911241186035e-06,9.45898342198684e-05,"31338"
"3310",-1.19186889330085,3.23946228349254,6.22590573334646e-05,0.00322326841302449,"3310"
"34620",-1.19102086042229,6.82717044672053,4.47020728487629e-07,4.46834985802662e-05,"34620"
"9420",-1.18088158485907,5.01322488170353,2.18521250832236e-06,0.000182531003154658,"9420"
"14460",-1.17887465980805,3.39143591863302,5.35125605078197e-05,0.00285650997917851,"14460"
"15458",-1.17873429619696,6.56854541890878,6.62044756275316e-07,6.36078182384614e-05,"15458"
"22661",-1.17712339755027,4.28984947943922,7.86970133554278e-06,0.000548220410604366,"22661"
"26064",-1.17690992061932,4.28283133984925,8.92486186415574e-06,0.000606969213883796,"26064"
"20686",-1.17468574104823,5.10607421631973,2.23155609137221e-06,0.000185116555303831,"20686"
"29990",-1.17402363708921,2.98271491556315,0.00010829216953524,0.00511482059905648,"29990"
"28515",-1.17381619977076,4.03778510711908,6.28504866028052e-06,0.000457214566170026,"28515"
"20247",-1.17199810013282,2.36180244222364,0.000355687685675765,0.0133837227712304,"20247"
"6526",-1.17153721504088,6.55453181334191,7.86075735138107e-07,7.40614697192131e-05,"6526"
"37771",-1.1704681033421,3.5366838328762,3.86776191112592e-05,0.00218758916242914,"37771"
"18247",-1.16955532249485,6.56395913418389,8.76313943178287e-07,8.19217322269132e-05,"18247"
"7761",-1.16412286714226,6.1969432699183,1.14304702296594e-06,0.000103117129559315,"7761"
"29488",-1.16114192881484,1.99035143213098,0.000478599465615224,0.0169482450605744,"29488"
"41050",-1.15642031875985,5.21235515529734,2.76085811962267e-06,0.000222875984891687,"41050"
"35107",-1.15003414854722,3.48590919348277,3.31253885302614e-05,0.00191866716711795,"35107"
"7760",-1.14988092767551,6.2672197308353,1.51012548524192e-06,0.000132586078187238,"7760"
"20685",-1.14880136929077,5.27097905985066,3.04674455182914e-06,0.00024216250474175,"20685"
"18970",-1.14715831406286,2.01298420333857,0.00153433984604125,0.0428534468609896,"18970"
"9076",-1.14269952851314,1.75476733386311,0.00129002341289921,0.0373299878544251,"9076"
"23752",-1.14172430788011,5.21876962856922,3.46560982604249e-06,0.000267787003367759,"23752"
"16650",-1.13721750841477,6.66498937399534,1.50835779395221e-06,0.000132586078187238,"16650"
"33394",-1.13496891036421,4.58880244842635,1.03076261019454e-05,0.000688797570164261,"33394"
"3233",-1.13385547355742,6.89235277537513,1.46318254801628e-06,0.000129409172169528,"3233"
"8620",-1.12858695826117,3.67271849567984,4.81896103961132e-05,0.00264676117373477,"8620"
"367",-1.12771265640442,3.54823583437441,6.31153347036537e-05,0.0032489541409149,"367"
"26065",-1.12728509124662,4.62635723644663,1.01663496149404e-05,0.000681882390065285,"26065"
"13061",-1.12330820965443,3.05719672972041,0.000126501170075045,0.00577822116728859,"13061"
"14860",-1.11786719875621,5.83514527194816,3.7702730538168e-06,0.000287632776209259,"14860"
"32228",-1.11739488952907,4.72547121904614,9.00279114225336e-06,0.000610649846556791,"32228"
"12729",-1.10188145490699,6.52108472032897,3.20894755766422e-06,0.000250638252420592,"12729"
"355",-1.10133214104235,3.18386379252333,0.000188541884750071,0.00798536844038298,"355"
"8087",-1.10021591813538,3.12895818697606,0.00022969368226803,0.00933485225879408,"8087"
"2202",-1.09951543657714,3.48870040595012,9.56699598576151e-05,0.00460914619687856,"2202"
"14385",-1.0958719443635,3.54909530396273,5.48314628127351e-05,0.00291683107858052,"14385"
"33766",-1.09188784053308,3.54357815674935,6.26733041460082e-05,0.00323080882872672,"33766"
"13151",-1.0918754640824,3.60812093261174,6.93836063077439e-05,0.00351151112708967,"13151"
"3596",-1.08888422154888,6.00736525661054,6.06560992564227e-06,0.000443970657539151,"3596"
"6641",-1.08668067710112,1.82989623240575,0.00139959049151334,0.0397358165902901,"6641"
"33906",-1.08628809779694,7.71672242242055,3.20203990394969e-06,0.000250638252420592,"33906"
"28955",-1.08327041931805,5.80134627119154,7.4944271003798e-06,0.000526140859761099,"28955"
"31059",-1.08162617625864,4.34611979605539,2.70168155845498e-05,0.00161140791796443,"31059"
"37772",-1.08022663021554,3.49041024588956,0.000147171789964541,0.00646069834655775,"37772"
"436",-1.07710886969087,5.94176005376213,6.97860308369702e-06,0.000496692095217371,"436"
"2034",-1.07406628891107,5.51964897720743,1.17640194602146e-05,0.000771826622221534,"2034"
"32896",-1.06329779391549,2.78831961672008,0.000516091317767204,0.0179760185343915,"32896"
"31528",-1.0545139906902,3.80255871110863,8.35011391206031e-05,0.00412194063634331,"31528"
"29991",-1.05347925482489,2.89033372142686,0.000520483937739611,0.0180246284964816,"29991"
"8088",-1.05320828971436,2.82795174412636,0.000707520533660873,0.0231888087712558,"8088"
"4216",-1.04687267434389,3.12747915931888,0.000326114828421418,0.0124791660483424,"4216"
"3215",-1.04643745909767,3.63580414397967,0.000129641961926572,0.0058628565359875,"3215"
"9443",-1.0451976726857,8.50206787140129,6.53649496321503e-06,0.000470797247001226,"9443"
"21901",-1.04267686396956,3.44383108257975,0.00027142601173319,0.0106345359754529,"21901"
"31398",-1.04202530097274,3.73162020199001,0.000118918925487186,0.00550858719666894,"31398"
