"","logFC","logCPM","PValue","FDR","ID"
"10622",5.32536573424877,4.41174179905956,9.64731887634931e-61,1.74061750826532e-56,"10622"
"31265",5.70236696253933,3.77007895936428,2.35693382070719e-57,2.8349985640073e-53,"31265"
"30544",4.52785918787992,5.37562809588063,1.73073166529637e-56,1.56133630355549e-52,"30544"
"9430",5.3289386487402,3.96344999485417,7.77019424489059e-56,5.60774918653754e-52,"9430"
"1779",10.080137004323,2.65421394991329,1.57074056050153e-52,9.44669552094963e-49,"1779"
"3897",5.16146084977166,3.50708886471356,1.32217182625019e-47,6.81579576431975e-44,"3897"
"24598",3.70374476033063,6.75809070678038,9.80461210586546e-46,4.42249284800194e-42,"24598"
"2504",4.19011711633963,4.3891780081396,1.8474001066635e-45,7.40704809432805e-42,"2504"
"29755",4.29126228005374,4.01867118494862,9.20332581826644e-44,3.32102012152144e-40,"29755"
"38969",4.62314164516042,3.41017904239623,2.47466650932058e-41,8.11803099898484e-38,"38969"
"27657",3.66886855022155,5.17904255306472,7.89731322631636e-41,2.37478789809688e-37,"27657"
"17234",5.59697259673919,2.60549354861441,1.7116119353815e-40,4.75103974524934e-37,"17234"
"9612",4.15802641552695,3.20295266570226,8.51722716141639e-35,2.19531530085507e-31,"9612"
"9998",5.39939443492409,2.38878028929366,1.32600011758375e-34,3.1899142828673e-31,"9998"
"913",3.28791044589548,5.17733073387942,2.27317796296603e-34,5.12672667460183e-31,"913"
"34627",3.41235069178532,4.55095462788435,6.14650416895786e-34,1.3046858996285e-30,"34627"
"2499",4.19601817237535,2.88500530004521,2.74827652808985e-33,5.50953102867346e-30,"2499"
"38104",4.81868887133281,2.49403939870508,2.90913019592567e-33,5.52505069052515e-30,"38104"
"29719",3.94298368548761,3.17506159301432,4.09517925424508e-33,7.38872716947169e-30,"29719"
"27976",6.39440671239527,1.79183395692116,3.17606878249252e-32,5.45754485791632e-29,"27976"
"22865",3.37437243857429,4.08189600392671,8.89137354497268e-32,1.458387338047e-28,"22865"
"31229",2.87484090639752,6.57717190872533,2.3508091213399e-30,3.68821509319784e-27,"31229"
"23822",3.23376935785953,4.03896048754354,4.17100491184448e-30,6.27127967682951e-27,"23822"
"10205",3.08601485633975,4.83445387647086,6.64343319063426e-30,9.58913146736149e-27,"10205"
"2752",3.22270906861701,3.66518336341771,3.33076112491276e-28,4.62271212278757e-25,"2752"
"16999",4.56830451338672,2.03603868859517,6.41393967956568e-28,8.5721116050788e-25,"16999"
"16019",2.73997660330682,5.97961153359013,1.48957172274292e-27,1.91968555768494e-24,"16019"
"10000",4.34263389907876,2.1968075760111,3.1004104645755e-27,3.85787281428299e-24,"10000"
"2753",3.17224111942378,3.60429401544221,4.18368479558968e-27,5.03227552829512e-24,"2753"
"14301",3.61396638198658,2.93717145252407,4.96430377628181e-27,5.77860973442351e-24,"14301"
